"date","price"
"03.11.2022",6.170404976190104e-05
"04.11.2022",5.539918228753406e-05
"05.11.2022",5.728881836851279e-05
"06.11.2022",5.902632821452971e-05
"07.11.2022",5.8750715111339155e-05
"08.11.2022",5.694686849594204e-05
"09.11.2022",5.670035719445423e-05
"10.11.2022",4.00782051199217e-05
"11.11.2022",9.006797083805081e-05
"12.11.2022",7.091356057098423e-05
"13.11.2022",1.9405370269116716e-05
"14.11.2022",5.670807238246587e-05
"15.11.2022",4.67348756875025e-05
"16.11.2022",5.6433975807860025e-05
"17.11.2022",4.527345657949276e-05
"18.11.2022",8.751013650497398e-05
"19.11.2022",4.901028131218409e-05
"20.11.2022",4.853749197003396e-05
"21.11.2022",2.1533879821383004e-05
"22.11.2022",8.786723729957496e-05
"23.11.2022",8.744354781632538e-05
"24.11.2022",7.202407338047779e-05
"25.11.2022",7.548473432701235e-05
"26.11.2022",5.465257998019561e-05
"27.11.2022",4.787165746149773e-05
"28.11.2022",4.9169535712966503e-05
"29.11.2022",3.96401899206833e-05
"30.11.2022",4.5489091439433476e-05
"01.12.2022",8.274795878315667e-05
"02.12.2022",4.7069929454108e-05
"03.12.2022",6.666857203503697e-05
"04.12.2022",3.784982838654484e-05
"05.12.2022",2.1200843388187884e-05
"06.12.2022",2.1199240572021984e-05
"07.12.2022",7.992678921772638e-05
"08.12.2022",7.97432510714281e-05
"09.12.2022",7.192109795563201e-05
"10.12.2022",7.36632991194969e-05
"11.12.2022",6.976533214080234e-05
"12.12.2022",7.212993707903821e-05
"13.12.2022",6.895928793453684e-05
"14.12.2022",4.7594035875626104e-05
"15.12.2022",4.155043915292385e-05
"16.12.2022",4.225040159632915e-05
"17.12.2022",3.828313648783598e-05
"18.12.2022",3.7907289606420884e-05
"19.12.2022",3.81760848068117e-05
"20.12.2022",3.298934961170142e-05
"21.12.2022",3.443679668040536e-05
"22.12.2022",3.335722720417345e-05
"23.12.2022",3.803935577617556e-05
"24.12.2022",3.322604961745115e-05
"25.12.2022",3.1842590078565835e-05
"26.12.2022",3.78531388899443e-05
"27.12.2022",3.248713949576857e-05
"28.12.2022",2.8407290718992233e-05
"29.12.2022",2.8627602045248475e-05
"30.12.2022",2.768254860500391e-05
"31.12.2022",2.7554961833057672e-05
"01.01.2023",2.8780779915858162e-05
"02.01.2023",3.1213932253495694e-05
"03.01.2023",3.3834478012433904e-05
"04.01.2023",2.6535791947461615e-05
"05.01.2023",2.984665409624188e-05
"06.01.2023",3.171407895092038e-05
"07.01.2023",3.217168785441072e-05
"08.01.2023",3.2654559170686014e-05
"09.01.2023",3.1948903906011306e-05
"10.01.2023",3.453123869965654e-05
"11.01.2023",2.8613171492389966e-05
"12.01.2023",3.1102657714813413e-05
"13.01.2023",3.3666587189514804e-05
"14.01.2023",3.171358563087643e-05
"15.01.2023",3.178887510526364e-05
"16.01.2023",3.0785202665753257e-05
"17.01.2023",3.389331406673601e-05
"18.01.2023",3.1793086499759245e-05
"19.01.2023",4.669041974957872e-05
"20.01.2023",3.38479017851604e-05
"21.01.2023",3.366939075349727e-05
"22.01.2023",3.235411834524781e-05
"23.01.2023",2.882447762132517e-05
"24.01.2023",3.076976047353794e-05
"25.01.2023",2.8246233489286713e-05
"26.01.2023",2.7538588411015438e-05
"27.01.2023",2.828762037608734e-05
"28.01.2023",2.7942844233345762e-05
"29.01.2023",2.6469845819503294e-05
"30.01.2023",2.9533287353070856e-05
"31.01.2023",2.6877268416181744e-05
"01.02.2023",2.7118186825431865e-05
"02.02.2023",2.4142949011930696e-05
"03.02.2023",2.252894362386591e-05
"04.02.2023",2.2647168018942565e-05
"05.02.2023",2.2124738519130368e-05
"06.02.2023",2.3018328504145638e-05
"07.02.2023",1.6951130813526414e-05
"08.02.2023",1.8147312114399166e-05
"09.02.2023",1.9456970519848628e-05
"10.02.2023",1.9176350635627098e-05
"11.02.2023",2.0094646940001672e-05
"12.02.2023",2.0656461846117228e-05
"13.02.2023",1.833415139832756e-05
"14.02.2023",2.021042970906007e-05
"15.02.2023",2.164912133688465e-05
"16.02.2023",2.1566708546816305e-05
"17.02.2023",2.5267384050029253e-05
"18.02.2023",2.392238784467736e-05
"19.02.2023",2.2210770381624557e-05
"20.02.2023",2.0661127562172116e-05
"21.02.2023",2.0947432226426465e-05
"22.02.2023",2.4039099473433754e-05
"23.02.2023",2.3152079263180347e-05
"24.02.2023",2.8683338488169757e-05
"25.02.2023",2.744052582526024e-05
"26.02.2023",2.5690097716733474e-05
"27.02.2023",2.5257308567746996e-05
"28.02.2023",2.5766765475927267e-05
"01.03.2023",2.6424263375463833e-05
"02.03.2023",2.602206721240536e-05
"03.03.2023",2.6482654471940365e-05
"04.03.2023",2.4138776630942558e-05
"05.03.2023",2.2785186586942148e-05
"06.03.2023",2.209742646558307e-05
"07.03.2023",2.0680648537586144e-05
"08.03.2023",2.456922027242957e-05
"09.03.2023",2.1970075841856675e-05
"10.03.2023",2.1052789712368593e-05
"11.03.2023",1.7242664939727495e-05
"12.03.2023",1.7974069266255882e-05
"13.03.2023",1.8748296264652534e-05
"14.03.2023",1.8627754330164104e-05
"15.03.2023",1.88217717094784e-05
"16.03.2023",1.738846931252244e-05
"17.03.2023",1.6927337168717326e-05
"18.03.2023",1.7064989946582138e-05
"19.03.2023",1.579299560303713e-05
"20.03.2023",1.7763387897239596e-05
"21.03.2023",1.7207351347488717e-05
"22.03.2023",1.6296071180892223e-05
"23.03.2023",1.64245749091584e-05
"24.03.2023",1.716985928306798e-05
"25.03.2023",1.770517171269e-05
"26.03.2023",1.7334670942444324e-05
"27.03.2023",1.8943369269059664e-05
"28.03.2023",1.824271148310318e-05
"29.03.2023",1.7824808418901226e-05
"30.03.2023",1.745291682053464e-05
"31.03.2023",1.622596076646563e-05
"01.04.2023",1.9505414351658e-05
"02.04.2023",1.927681143399489e-05
"03.04.2023",1.960110148343651e-05
"04.04.2023",2.134142335707602e-05
"05.04.2023",2.1687629494254446e-05
"06.04.2023",2.2018671480545156e-05
"07.04.2023",2.0392611209552294e-05
"08.04.2023",2.2290179344516216e-05
"09.04.2023",2.1131830253933114e-05
"10.04.2023",2.344338035582607e-05
"11.04.2023",3.418993164824464e-05
"12.04.2023",2.662027160987557e-05
"13.04.2023",2.393007589944329e-05
"14.04.2023",3.3605165390894e-05
"15.04.2023",5.124440495450611e-05
"16.04.2023",0.00010189181919839626
"17.04.2023",0.00010864714815883369
"18.04.2023",0.0002437997288449436
"19.04.2023",0.00033216787722497925
"20.04.2023",0.0001517611978480433
"21.04.2023",0.0001697851184758549
"22.04.2023",0.00016316134454557053
"23.04.2023",0.00015286071378824633
"24.04.2023",0.00016108714282012877
"25.04.2023",0.00012370120844846271
"26.04.2023",0.00013867343542790125
"27.04.2023",0.0001180276349290547
"28.04.2023",0.00016497524452386325
"29.04.2023",0.0001877189513284958
"30.04.2023",0.00022722814175966905
"01.05.2023",0.00019095395331177902
"02.05.2023",0.0001498742006511617
"03.05.2023",0.00014389208614330113
"04.05.2023",0.00011960968073319136
"05.05.2023",0.00012580998087336796
"06.05.2023",0.00010531227542180285
"07.05.2023",9.528707720118564e-05
"08.05.2023",8.873803685597281e-05
"09.05.2023",9.087134987566951e-05
"10.05.2023",0.00010399290492510467
"11.05.2023",0.00011536600113271045
"12.05.2023",9.18194819972545e-05
"13.05.2023",9.150620679131315e-05
"14.05.2023",8.894352055441662e-05
"15.05.2023",9.283790785240854e-05
"16.05.2023",8.519668272503791e-05
"17.05.2023",9.00782735214827e-05
"18.05.2023",8.14325583755569e-05
"19.05.2023",7.62309576774423e-05
"20.05.2023",7.588913958677323e-05
"21.05.2023",5.259522628444301e-05
"22.05.2023",5.905322494524351e-05
"23.05.2023",5.6205352075442085e-05
"24.05.2023",5.2825301209678974e-05
"25.05.2023",4.764644670306581e-05
"26.05.2023",4.969077689577719e-05
"27.05.2023",4.033046570176558e-05
"28.05.2023",4.032798140412444e-05
"29.05.2023",4.19445990063526e-05
"30.05.2023",4.373046967527765e-05
"31.05.2023",4.206984178804915e-05
"01.06.2023",3.9416950320022006e-05
"02.06.2023",3.978530983230848e-05
"03.06.2023",4.1622849322577256e-05
"04.06.2023",4.670397054241823e-05
"05.06.2023",5.152222845682769e-05
"06.06.2023",4.5721551999371164e-05
"07.06.2023",4.643945028122126e-05
"08.06.2023",4.063689932749976e-05
"09.06.2023",4.03609475083487e-05
"10.06.2023",4.443831177887653e-05
"11.06.2023",3.811343330676195e-05
"12.06.2023",3.9285661306258466e-05
"13.06.2023",3.79211407348396e-05
"14.06.2023",3.7569392408554095e-05
"15.06.2023",5.0438752285037894e-05
"16.06.2023",3.741283890573712e-05
"17.06.2023",4.1416588494431915e-05
"18.06.2023",3.748210908974013e-05
"19.06.2023",3.845518038760862e-05
"20.06.2023",4.261459666454288e-05
"21.06.2023",3.891464038924362e-05
"22.06.2023",3.99331683892732e-05
"23.06.2023",3.8417240383744595e-05
"24.06.2023",3.855686346527392e-05
"25.06.2023",3.6767547281726674e-05
"26.06.2023",3.915161627633258e-05
"27.06.2023",4.381563568900246e-05
"28.06.2023",3.831631761364357e-05
"29.06.2023",3.665451639244821e-05
"30.06.2023",4.083903997285936e-05
"01.07.2023",3.774483506742236e-05
"02.07.2023",3.664133824135949e-05
"03.07.2023",3.655507131059524e-05
"04.07.2023",4.108246981697527e-05
"05.07.2023",3.8557196302590255e-05
"06.07.2023",3.868688209367557e-05
"07.07.2023",4.4484193047681285e-05
"08.07.2023",3.8276497024970935e-05
"09.07.2023",3.827440277515646e-05
"10.07.2023",3.784316210619366e-05
"11.07.2023",3.644371965663707e-05
"12.07.2023",4.177250824442946e-05
"13.07.2023",4.383532170803451e-05
"14.07.2023",3.6743415739798385e-05
"15.07.2023",4.091883422074077e-05
"16.07.2023",3.739865265360557e-05
"17.07.2023",4.09556687902112e-05
"18.07.2023",3.576804300402878e-05
"19.07.2023",4.096664248751191e-05
"20.07.2023",3.661629171999489e-05
"21.07.2023",3.9713351983859056e-05
"22.07.2023",3.8094251202651153e-05
"23.07.2023",3.62227710004621e-05
"24.07.2023",3.6844399134913774e-05
"25.07.2023",3.530953742251064e-05
"26.07.2023",3.709884421040106e-05
"27.07.2023",3.8858969875932556e-05
"28.07.2023",3.7336305705573685e-05
"29.07.2023",3.673777275232752e-05
"30.07.2023",3.689130453676806e-05
"31.07.2023",3.6303660292792415e-05
"01.08.2023",3.6631295304749e-05
"02.08.2023",3.892598307888403e-05
"03.08.2023",3.744207103347192e-05
"04.08.2023",3.646896103902508e-05
"05.08.2023",3.684147224614515e-05
"06.08.2023",3.660848118731438e-05
"07.08.2023",8.073753824807398e-05
"08.08.2023",5.29283445173394e-05
"09.08.2023",5.659180212645949e-05
"10.08.2023",5.354005714403355e-05
"11.08.2023",5.636680978022905e-05
"12.08.2023",4.652241756157409e-05
"13.08.2023",4.8616687729661146e-05
"14.08.2023",4.828815213223755e-05
"15.08.2023",4.158272567878556e-05
"16.08.2023",3.798655683279047e-05
"17.08.2023",3.760891433605311e-05
"18.08.2023",3.695359609234758e-05
"19.08.2023",3.630774031617842e-05
"20.08.2023",3.747950109762857e-05
"21.08.2023",3.7525628453664994e-05
"22.08.2023",3.7693150052658714e-05
"23.08.2023",3.531052061008327e-05
"24.08.2023",3.680982728144725e-05
"25.08.2023",3.6701456377547136e-05
"26.08.2023",3.7027601025471555e-05
"27.08.2023",4.1166125572121405e-05
"28.08.2023",3.832111190731394e-05
"29.08.2023",3.752411513517083e-05
"30.08.2023",3.639731255319199e-05
"31.08.2023",3.48715231590338e-05
"01.09.2023",3.4545287170450514e-05
"02.09.2023",3.666283577534356e-05
"03.09.2023",3.7034801869355155e-05
"04.09.2023",3.658182102191624e-05
"05.09.2023",3.642499341064129e-05
"06.09.2023",3.6874188575718354e-05
"07.09.2023",3.656198223027314e-05
"08.09.2023",3.662602406459788e-05
"09.09.2023",3.6920372994323855e-05
"10.09.2023",3.689468305496283e-05
"11.09.2023",3.685046179617393e-05
"12.09.2023",3.443702483593422e-05
"13.09.2023",3.696618474536764e-05
"14.09.2023",3.6814753980029605e-05
"15.09.2023",0.00024948630511346
"16.09.2023",3.7173827661114894e-05
"17.09.2023",3.6877541756301305e-05
"18.09.2023",3.482290342116258e-05
"19.09.2023",3.611109457185529e-05
"20.09.2023",3.6545811973689555e-05
"21.09.2023",3.5711812447465075e-05
"22.09.2023",3.3393468626893134e-05
"23.09.2023",3.375586128935847e-05
"24.09.2023",3.5093384233293665e-05
"25.09.2023",3.258144639036502e-05
"26.09.2023",3.209459752023993e-05
"27.09.2023",3.059380558818283e-05
"28.09.2023",3.012818141502876e-05
"29.09.2023",3.1061672156548295e-05
"30.09.2023",3.076373143814593e-05
"01.10.2023",3.05539337554382e-05
"02.10.2023",2.830930795721329e-05
"03.10.2023",2.8681920610357656e-05
"04.10.2023",2.8379534709595642e-05
"05.10.2023",3.051266643961615e-05
"06.10.2023",3.230125612495413e-05
"07.10.2023",3.16143337553331e-05
"08.10.2023",3.0733182192162567e-05
"09.10.2023",2.947107276204127e-05
"10.10.2023",2.936417968254804e-05
"11.10.2023",2.8279929469191874e-05
"12.10.2023",2.5285831339050154e-05
"13.10.2023",2.8870584781147452e-05
"14.10.2023",2.8536374603553153e-05
"15.10.2023",2.878414994467492e-05
"16.10.2023",2.8766694455649408e-05
"17.10.2023",2.975644109880297e-05
"18.10.2023",2.9183516800200817e-05
"19.10.2023",3.008664088105311e-05
"20.10.2023",3.068212773865113e-05
"21.10.2023",3.0960898916217824e-05
"22.10.2023",2.9486984369919383e-05
"23.10.2023",2.9981591037053693e-05
"24.10.2023",3.0221378858034718e-05
"25.10.2023",3.024897016930985e-05
"26.10.2023",2.8466194314496766e-05
"27.10.2023",2.8233139159376018e-05
"28.10.2023",2.791166779845529e-05
"29.10.2023",2.7763476777767797e-05
"30.10.2023",2.7698978278683926e-05
"31.10.2023",3.318544247625166e-05
"01.11.2023",3.5288331009821215e-05
"02.11.2023",3.771879009907283e-05
