"month_year","price"
"2021-08-01",38831.91118629408
"2021-09-01",39112.725641169745
"2021-10-01",49559.5133238853
"2021-11-01",53419.62602755947
"2021-12-01",43984.045592422364
"2022-01-01",36557.10068311821
"2022-02-01",35830.93799689867
"2022-03-01",38042.62246483855
"2022-04-01",38496.399606438055
"2022-05-01",30229.247873641783
"2022-06-01",23422.27754889388
"2022-07-01",21006.858192402895
"2022-08-01",22901.86620575899
